#Filename               , index,   readouts,   discards,     events,     ev_gbl, nonzero, firstnz, lastnz,  nonzero_gbl, firstnz_glbl,  lastnz_glbl
datafile024.bin         ,    24,      27524,       6411,      21113,     509546,     479,      19,   1231,          917,           18,         1232
datafile025.bin         ,    25,      27957,       6780,      21177,     530723,     469,     187,   1231,          921,           18,         1232
datafile026.bin         ,    26,      27860,       6576,      21284,     552007,     478,     142,   1234,          927,           18,         1234
datafile027.bin         ,    27,      27539,       6556,      20983,     572990,     466,     188,   1231,          929,           18,         1234
datafile028.bin         ,    28,      27814,       6709,      21105,     594095,     456,     187,   1231,          931,           18,         1234
datafile029.bin         ,    29,      27891,       6569,      21322,     615417,     472,     187,   1231,          942,           18,         1234
datafile030.bin         ,    30,      27770,       6557,      21213,     636630,     475,     187,   1231,          950,           18,         1234
datafile031.bin         ,    31,      27906,       6586,      21320,     657950,     462,     187,   1233,          953,           18,         1234
datafile032.bin         ,    32,      27980,       6631,      21349,     679299,     490,      85,   1231,          955,           18,         1234
datafile033.bin         ,    33,      27811,       6522,      21289,     700588,     496,     187,   1231,          957,           18,         1234
datafile034.bin         ,    34,      27736,       6570,      21166,     721754,     492,     187,   1231,          958,           18,         1234
datafile035.bin         ,    35,      27762,       6644,      21118,     742872,     475,     179,   1231,          963,           18,         1234
datafile036.bin         ,    36,      27674,       6557,      21117,     763989,     470,     187,   1233,          965,           18,         1234
datafile037.bin         ,    37,      28012,       6494,      21518,     785507,     468,     187,   1231,          967,           18,         1234
datafile038.bin         ,    38,      27726,       6612,      21114,     806621,     479,     181,   1231,          969,           18,         1234
